year,primary_sector,state,emissions,n_facilities
2012,Minerals,WV,409402.526,2
2012,Minerals,WY,3214299.716,5
2012,Natural Gas and Natural Gas Liquids Suppliers,AL,477026.73,2
2012,Natural Gas and Natural Gas Liquids Suppliers,CA,36636.87,1
2012,Natural Gas and Natural Gas Liquids Suppliers,CO,561097.41,1
2012,Natural Gas and Natural Gas Liquids Suppliers,IL,248504.588,1
2012,Natural Gas and Natural Gas Liquids Suppliers,LA,396348.796,4
2012,Natural Gas and Natural Gas Liquids Suppliers,MN,155680.6,1
2012,Natural Gas and Natural Gas Liquids Suppliers,ND,39839.744,1
2012,Natural Gas and Natural Gas Liquids Suppliers,OK,32102.946,1
2012,Natural Gas and Natural Gas Liquids Suppliers,TX,1301567.964,5
2012,Natural Gas and Natural Gas Liquids Suppliers,WY,793423.732,4
2012,Petroleum and Natural Gas Systems,AK,7320861.3040000005,8
2012,Petroleum and Natural Gas Systems,AL,746270.694,5
2012,Petroleum and Natural Gas Systems,AR,159294.414,2
2012,Petroleum and Natural Gas Systems,AZ,235683.91400000002,5
2012,Petroleum and Natural Gas Systems,CA,327731.706,6
2012,Petroleum and Natural Gas Systems,CO,2195440.242,8
2012,Petroleum and Natural Gas Systems,CT,136661.76,3
2012,Petroleum and Natural Gas Systems,FL,116422.582,3
2012,Petroleum and Natural Gas Systems,HI,24240.774,1
2012,Petroleum and Natural Gas Systems,IA,187350.494,3
2012,Petroleum and Natural Gas Systems,ID,143586.82400000002,2
2012,Petroleum and Natural Gas Systems,IL,168377.812,3
2012,Petroleum and Natural Gas Systems,IN,55711.05,1
2012,Petroleum and Natural Gas Systems,KS,127688.166,3
2012,Petroleum and Natural Gas Systems,KY,62680.28,1
2012,Petroleum and Natural Gas Systems,LA,3117256.448,28
2012,Petroleum and Natural Gas Systems,MA,36551.416,1
2012,Petroleum and Natural Gas Systems,MI,845415.0510000001,4
2012,Petroleum and Natural Gas Systems,MN,313196.726,3
2012,Petroleum and Natural Gas Systems,MS,626540.698,9
2012,Petroleum and Natural Gas Systems,ND,980402.916,9
2012,Petroleum and Natural Gas Systems,NJ,35203.524,1
2012,Petroleum and Natural Gas Systems,NM,858323.204,5
2012,Petroleum and Natural Gas Systems,NV,213948.704,2
2012,Petroleum and Natural Gas Systems,NY,189497.386,3
2012,Petroleum and Natural Gas Systems,OH,27742.54,1
2012,Petroleum and Natural Gas Systems,OK,889345.097,12
2012,Petroleum and Natural Gas Systems,OR,48140.774,1
2012,Petroleum and Natural Gas Systems,PA,425061.062,6
2012,Petroleum and Natural Gas Systems,SC,3189313.334,1
2012,Petroleum and Natural Gas Systems,TX,4473415.746,28
2012,Petroleum and Natural Gas Systems,UT,326671.126,4
2012,Petroleum and Natural Gas Systems,WA,75509.222,1
2012,Petroleum and Natural Gas Systems,WV,119497.93,3
2012,Petroleum and Natural Gas Systems,WY,1330557.338,7
2012,Petroleum Product Suppliers,AK,530579.888,1
2012,Petroleum Product Suppliers,AL,396243.386,1
2012,Petroleum Product Suppliers,CA,953100.535,3
2012,Petroleum Product Suppliers,IL,3923473.6220000004,2
2012,Petroleum Product Suppliers,IN,183181.414,1
2012,Petroleum Product Suppliers,KY,2206041.532,1
2012,Petroleum Product Suppliers,LA,12487103.392,6
2012,Petroleum Product Suppliers,MI,738087.87,1
2012,Petroleum Product Suppliers,MS,26353.924,1
2012,Petroleum Product Suppliers,ND,620606.892,1
2012,Petroleum Product Suppliers,NJ,154172.054,1
2012,Petroleum Product Suppliers,NV,14767.11,1
2012,Petroleum Product Suppliers,OH,3746882.724,3
2012,Petroleum Product Suppliers,OK,590891.534,1
2012,Petroleum Product Suppliers,PA,168483.044,1
2012,Petroleum Product Suppliers,TX,10876506.836,8
2012,Petroleum Product Suppliers,WA,3543522.6819999996,3
2012,Petroleum Product Suppliers,WY,166737.146,1
2012,Power Plants,AK,1383466.782,5
2012,Power Plants,AL,36967887.028,8
2012,Power Plants,AR,5292618.028000001,2
2012,Power Plants,AZ,15664448.862,7
2012,Power Plants,CA,13437018.265,22
2012,Power Plants,CO,22210704.476,10
2012,Power Plants,CT,5923850.596,5
2012,Power Plants,DC,216490.35,2
2012,Power Plants,DE,79492.626,1
2012,Power Plants,FL,45278095.75,16
2012,Power Plants,GA,16071772.58,7
2012,Power Plants,GU,341849.06,1
2012,Power Plants,HI,993219.112,5
2012,Power Plants,IA,18522481.838,3
2012,Power Plants,ID,411655.192,1
2012,Power Plants,IL,14872216.936,3
2012,Power Plants,IN,11050757.184,4
2012,Power Plants,KS,17258893.02,4
2012,Power Plants,KY,34261900.628,5
2012,Power Plants,LA,10350308.296,6
2012,Power Plants,MA,1243867.569,5
2012,Power Plants,MD,35873.464,1
2012,Power Plants,MI,25191417.882,12
2012,Power Plants,MN,8130277.615999999,7
2012,Power Plants,MO,23161712.501,8
2012,Power Plants,MS,15156005.89,8
2012,Power Plants,MT,14337078.797999999,2
2012,Power Plants,NC,14704393.168,2
2012,Power Plants,ND,18853270.808,3
2012,Power Plants,NE,13907797.53,4
2012,Power Plants,NJ,4298165.174000001,5
2012,Power Plants,NM,3522228.688,6
2012,Power Plants,NV,6005116.006,6
2012,Power Plants,NY,8883486.305,20
2012,Power Plants,OH,34348911.738,12
2012,Power Plants,OK,3577521.358,4
2012,Power Plants,OR,1786891.326,2
2012,Power Plants,PA,13992755.751,13
2012,Power Plants,PR,5802838.49,2
2012,Power Plants,RI,909535.28,1
2012,Power Plants,SC,6917979.296,5
2012,Power Plants,SD,2899658.196,1
2012,Power Plants,TN,20125814.282,4
2012,Power Plants,TX,109991576.632,30
2012,Power Plants,UT,3609539.438,3
2012,Power Plants,VA,929941.208,2
2012,Power Plants,VI,365774.02,1
2012,Power Plants,WA,1163267.384,4
2012,Power Plants,WI,14394262.544,10
2012,Power Plants,WV,25678123.764,5
2012,Power Plants,WY,6209758.144,6
2012,Pulp and Paper,AL,1644161.7820000001,5
2012,Pulp and Paper,AR,1039882.3200000001,3
2012,Pulp and Paper,CA,688325.856,3
2012,Pulp and Paper,CT,234953.976,2
2012,Pulp and Paper,FL,789432.75,1
2012,Pulp and Paper,GA,660182.094,5
2012,Pulp and Paper,ID,282548.048,1
2012,Pulp and Paper,IN,53200.6,1
2012,Pulp and Paper,KY,47991.62,1
2012,Pulp and Paper,LA,1340487.968,5
2012,Pulp and Paper,ME,282451.496,1
2012,Pulp and Paper,MI,190722.686,1
2012,Pulp and Paper,MN,195988.986,1
2012,Pulp and Paper,MO,128256.62,1
2012,Pulp and Paper,MS,236825.29200000002,2
2012,Pulp and Paper,NC,305311.898,1
