year,primary_sector,state,p50,n_facilities
2025,Metals,IA,354277.7645805443,3
2025,Metals,IL,1155094.1181879162,8
2025,Metals,IN,20215484.245555717,17
2025,Metals,KY,554641.3098906735,5
2025,Metals,LA,777685.9944920212,1
2025,Metals,MI,977867.6035717026,3
2025,Metals,MN,2111764.897016408,4
2025,Metals,MO,19806.51717183668,1
2025,Metals,MS,520735.73119215213,1
2025,Metals,NC,250989.17780335728,2
2025,Metals,NE,178114.75276647374,1
2025,Metals,NJ,71269.24318917259,1
2025,Metals,NY,219933.79721762487,2
2025,Metals,OH,1780636.3978940966,10
2025,Metals,OR,154258.44034653046,2
2025,Metals,PA,4029420.2697856766,14
2025,Metals,SC,353540.2139723088,3
2025,Metals,TN,291130.12583512906,2
2025,Metals,TX,926924.6387934709,6
2025,Metals,UT,264527.39509447414,1
2025,Metals,VA,492668.3507209971,3
2025,Metals,WA,122002.25831863761,1
2025,Metals,WI,387767.36628230085,3
2025,Metals,WV,251502.73484436286,3
2025,Minerals,AL,3460138.065469163,7
2025,Minerals,AR,507214.95566365565,3
2025,Minerals,AZ,1746112.325309774,2
2025,Minerals,CA,4438811.204015643,7
2025,Minerals,CO,268824.6882459458,3
2025,Minerals,GA,256239.3574887679,4
2025,Minerals,IA,1581859.7441471042,6
2025,Minerals,ID,269413.8706677468,1
2025,Minerals,IL,1238210.7774804586,4
2025,Minerals,IN,2275520.9243380865,9
2025,Minerals,KS,2695593.2564536906,4
2025,Minerals,KY,2724082.5463017905,5
2025,Minerals,MI,3847186.9915631176,7
2025,Minerals,MN,1612639.7636629934,6
2025,Minerals,MO,8256491.216485897,8
2025,Minerals,MS,31095.92948727169,1
2025,Minerals,MT,731132.3744172632,3
2025,Minerals,NC,368325.7584824844,5
2025,Minerals,ND,1312845.6115510385,3
2025,Minerals,NE,629740.8934021123,1
2025,Minerals,NJ,119107.92099672212,3
2025,Minerals,NM,46636.8709455742,1
2025,Minerals,NV,941226.6145010656,2
2025,Minerals,NY,380039.32297399204,5
2025,Minerals,OH,2428000.400743243,9
2025,Minerals,OK,886717.3195284628,6
2025,Minerals,PA,2795891.160151931,11
2025,Minerals,SC,2541390.3637294294,5
2025,Minerals,SD,266818.8198597286,1
2025,Minerals,TN,1245429.1188046085,6
2025,Minerals,TX,4231036.850057141,11
2025,Minerals,UT,695539.3098355143,1
2025,Minerals,VA,109338.37672364322,2
2025,Minerals,WA,575946.5634530032,4
2025,Minerals,WI,1054898.5490407788,6
2025,Minerals,WV,393202.7815753999,2
2025,Minerals,WY,3254165.2324851356,5
2025,Natural Gas and Natural Gas Liquids Suppliers,AL,258962.12216704682,2
2025,Natural Gas and Natural Gas Liquids Suppliers,CA,27708.705689934,1
2025,Natural Gas and Natural Gas Liquids Suppliers,CO,395179.8371163519,1
2025,Natural Gas and Natural Gas Liquids Suppliers,IL,310898.72219980735,1
2025,Natural Gas and Natural Gas Liquids Suppliers,LA,311417.3315472117,4
2025,Natural Gas and Natural Gas Liquids Suppliers,MN,33512.068757723115,1
2025,Natural Gas and Natural Gas Liquids Suppliers,ND,27711.367488694996,1
2025,Natural Gas and Natural Gas Liquids Suppliers,OK,32972.46653052417,1
2025,Natural Gas and Natural Gas Liquids Suppliers,TX,1163084.015009676,5
2025,Natural Gas and Natural Gas Liquids Suppliers,WY,400728.5554433987,4
2025,Petroleum and Natural Gas Systems,AK,7378150.142644027,8
2025,Petroleum and Natural Gas Systems,AL,593515.4268052779,5
2025,Petroleum and Natural Gas Systems,AR,86047.40709322371,2
2025,Petroleum and Natural Gas Systems,AZ,313681.793766029,5
2025,Petroleum and Natural Gas Systems,CA,479523.64749717514,6
2025,Petroleum and Natural Gas Systems,CO,1691922.1600156862,8
2025,Petroleum and Natural Gas Systems,CT,181660.30878010867,3
2025,Petroleum and Natural Gas Systems,FL,139106.1678944233,3
2025,Petroleum and Natural Gas Systems,HI,24907.86683019037,1
2025,Petroleum and Natural Gas Systems,IA,164889.59934626162,3
2025,Petroleum and Natural Gas Systems,ID,249335.86829523108,2
2025,Petroleum and Natural Gas Systems,IL,127078.22233085183,3
2025,Petroleum and Natural Gas Systems,IN,84596.05949860784,1
2025,Petroleum and Natural Gas Systems,KS,85557.14685307094,3
2025,Petroleum and Natural Gas Systems,KY,17107.556976109037,1
2025,Petroleum and Natural Gas Systems,LA,3596206.110707781,28
2025,Petroleum and Natural Gas Systems,MA,31060.096122739218,1
2025,Petroleum and Natural Gas Systems,MI,636999.3741051275,4
2025,Petroleum and Natural Gas Systems,MN,282640.25792227505,3
2025,Petroleum and Natural Gas Systems,MS,478683.7799611652,9
2025,Petroleum and Natural Gas Systems,ND,903240.0078862385,9
2025,Petroleum and Natural Gas Systems,NJ,69058.94319199551,1
2025,Petroleum and Natural Gas Systems,NM,622722.1028018678,5
2025,Petroleum and Natural Gas Systems,NV,143134.7018651064,2
2025,Petroleum and Natural Gas Systems,NY,241164.92690109322,3
2025,Petroleum and Natural Gas Systems,OH,19234.036582995635,1
2025,Petroleum and Natural Gas Systems,OK,998278.3428746243,12
2025,Petroleum and Natural Gas Systems,OR,61088.31393374665,1
2025,Petroleum and Natural Gas Systems,PA,436684.52379319037,6
2025,Petroleum and Natural Gas Systems,SC,1879273.166912309,1
2025,Petroleum and Natural Gas Systems,TX,5999302.972509327,28
2025,Petroleum and Natural Gas Systems,UT,208713.611421141,4
2025,Petroleum and Natural Gas Systems,WA,111783.87783589386,1
2025,Petroleum and Natural Gas Systems,WV,215828.96074762757,3
2025,Petroleum and Natural Gas Systems,WY,891280.9919261499,7
2025,Petroleum Product Suppliers,AK,488533.58842844534,1
2025,Petroleum Product Suppliers,AL,390772.8123634327,1
2025,Petroleum Product Suppliers,CA,1024887.2833350962,3
2025,Petroleum Product Suppliers,IL,4186277.687936517,2
2025,Petroleum Product Suppliers,IN,202248.58304272077,1
2025,Petroleum Product Suppliers,KY,2075640.9525079406,1
2025,Petroleum Product Suppliers,LA,11777498.811299235,6
2025,Petroleum Product Suppliers,MI,869981.0375304113,1
2025,Petroleum Product Suppliers,MS,31172.201933215558,1
2025,Petroleum Product Suppliers,ND,675697.8234455502,1
2025,Petroleum Product Suppliers,NJ,4153.283318005197,1
2025,Petroleum Product Suppliers,NV,14519.01849635812,1
2025,Petroleum Product Suppliers,OH,3005886.3047927534,3
2025,Petroleum Product Suppliers,OK,426818.4723657975,1
2025,Petroleum Product Suppliers,PA,103045.20491013046,1
2025,Petroleum Product Suppliers,TX,10088712.309537098,8
2025,Petroleum Product Suppliers,WA,3128067.5608356185,3
2025,Petroleum Product Suppliers,WY,157365.38301931872,1
